"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GPRC5A",0,0.431406373439492,0.333,0.089,0,"0","GPRC5A"
"PNRC1",0,0.428067263976337,0.722,0.577,0,"0","PNRC1"
"RPL34",0,0.422184834283908,0.999,0.992,0,"0","RPL34"
"TNFRSF12A",0,0.42085754280062,0.305,0.112,0,"0","TNFRSF12A"
"VIM",0,0.420663889015136,0.986,0.942,0,"0","VIM"
"RPS3",0,0.418257818128051,0.999,0.993,0,"0","RPS3"
"H2AFZ",0,0.416485726749934,0.839,0.687,0,"0","H2AFZ"
"RPL5",0,0.41472958892792,0.98,0.945,0,"0","RPL5"
"RPS5",0,0.411266038588785,0.987,0.958,0,"0","RPS5"
"SPTSSA",0,0.410625341518551,0.421,0.211,0,"0","SPTSSA"
"RPL17",0,0.404846017709245,0.767,0.605,0,"0","RPL17"
"RPL10A",0,0.400190245668083,0.989,0.96,0,"0","RPL10A"
"RPL24",0,0.398806471712953,0.969,0.912,0,"0","RPL24"
"RPL6",0,0.391067208722172,0.991,0.967,0,"0","RPL6"
"RPS27",0,0.389834033195128,0.998,0.991,0,"0","RPS27"
"RPL9",0,0.389688658620901,0.989,0.971,0,"0","RPL9"
"RPL13",0,0.3807542059082,1,0.999,0,"0","RPL13"
"PEG10",0,0.376994849760833,0.306,0.119,0,"0","PEG10"
"FHL2",0,0.375895861805047,0.555,0.337,0,"0","FHL2"
"RPS6",0,0.374200334121446,1,0.998,0,"0","RPS6"
"SDC2",0,0.372933759867121,0.412,0.226,0,"0","SDC2"
"EEF2",0,0.372813186307352,0.84,0.75,0,"0","EEF2"
"RPLP1",0,0.37255020845857,1,0.997,0,"0","RPLP1"
"EIF5",0,0.369902910162766,0.708,0.543,0,"0","EIF5"
"SNHG8",0,0.367517706015047,0.549,0.374,0,"0","SNHG8"
"GNB2L1",0,0.365285434811894,0.982,0.947,0,"0","GNB2L1"
"MAFF",0,0.363682698623313,0.478,0.292,0,"0","MAFF"
"TCF21",0,0.362035415355058,0.288,0.126,0,"0","TCF21"
"RPS18",0,0.362029346726604,1,0.998,0,"0","RPS18"
"VAPA",0,0.357639531706672,0.582,0.422,0,"0","VAPA"
"UAP1",0,0.352239300768662,0.391,0.204,0,"0","UAP1"
"RPS24",0,0.343581421235846,0.98,0.942,0,"0","RPS24"
"DDX21",0,0.33677472702489,0.386,0.214,0,"0","DDX21"
"RHEB",0,0.335474490822263,0.473,0.305,0,"0","RHEB"
"ATP1A1",0,0.335429888158149,0.452,0.279,0,"0","ATP1A1"
"HSP90AB1",0,0.331981548186741,0.997,0.948,0,"0","HSP90AB1"
"RPL7A",0,0.330421842611225,0.958,0.925,0,"0","RPL7A"
"HNRNPA1",0,0.323222822068451,0.945,0.895,0,"0","HNRNPA1"
"RPS27A",0,0.321570970297663,0.998,0.99,0,"0","RPS27A"
"EIF3E",0,0.321289495103902,0.799,0.693,0,"0","EIF3E"
"CEBPB",0,0.320686264215755,0.377,0.211,0,"0","CEBPB"
"NACA",0,0.319413395957515,0.916,0.865,0,"0","NACA"
"RPS13",0,0.318810522853428,0.989,0.957,0,"0","RPS13"
"RPS3A",0,0.318020797625412,0.999,0.993,0,"0","RPS3A"
"RPL39",0,0.317017822630057,0.989,0.968,0,"0","RPL39"
"C11orf96",0,0.316108807610633,0.313,0.143,0,"0","C11orf96"
"RPL18A",0,0.315904348136601,0.996,0.986,0,"0","RPL18A"
"HNRNPH3",0,0.31548161339573,0.432,0.273,0,"0","HNRNPH3"
"RPL26",0,0.313978276488934,0.996,0.98,0,"0","RPL26"
"BTF3",0,0.313255447169347,0.919,0.865,0,"0","BTF3"
"CHMP4B",0,0.313037535513928,0.388,0.21,0,"0","CHMP4B"
"RPS23",0,0.311127989688642,0.994,0.971,0,"0","RPS23"
"FAU",0,0.309938495353375,0.973,0.929,0,"0","FAU"
"RPS15",0,0.308473606346864,0.996,0.981,0,"0","RPS15"
"RPS4X",0,0.308086875519501,0.999,0.997,0,"0","RPS4X"
"TSPYL1",0,0.302986783525885,0.305,0.156,0,"0","TSPYL1"
"PNRC2",0,0.302663353544048,0.396,0.244,0,"0","PNRC2"
"RPL11",0,0.300386321067787,0.998,0.991,0,"0","RPL11"
"RPL32",0,0.299742774006328,0.998,0.993,0,"0","RPL32"
"CTNNAL1",0,0.29949662633273,0.375,0.221,0,"0","CTNNAL1"
"RPL30",0,0.296532635478525,0.97,0.925,0,"0","RPL30"
"PABPC1",0,0.295714238453073,0.793,0.693,0,"0","PABPC1"
"UGDH",0,0.293211834712605,0.279,0.13,0,"0","UGDH"
"RPL36",0,0.286572250182457,0.985,0.952,0,"0","RPL36"
